No,,Plnt,Loca,Description,Material,Material Description,BUn,Jumlah SAP,,Ceklis,Keterangan,Harga SAP
1,,E451,SR01,Main Store,1600014501,AMMONIUM CHLORIDE 25% N,KG,"518,668.50",,,,"1,382,251,552"
2,,E451,SR01,Main Store,1600006794,"FERT,STRAIGHT,MURIATE OF POTASH",KG,"210,499.25",,,,"1,054,643,163"
3,,E451,SR01,Main Store,1600005864,"FERTI,COMPOUND,NPK CCM 12:12:17:2+TE",KG,"114,774.19",,,,"567,214,047"
4,,E451,SR01,Main Store,1600002292,"FERT,STRAIGHT,EGYPTIAN ROCK PHOSPHATE",KG,"67,364.71",,,,"138,783,998"
5,,E451,SR01,Main Store,1600003751,"FERT,STRAIGHT,DOLOMITE",KG,"38,157",,,,"28,236,180"
6,,E451,SR01,Main Store,1600005862,"FERTI,COMPOUND,NPK CCM 14:13:9:2.5",KG,"20,462.88",,,,"96,296,560"
7,,E451,SR01,Main Store,1600002290,"FERT,STRAIGHT,KIESERITE (27% MGO)",KG,"20,375",,,,"71,618,125"
8,,E451,SR01,Main Store,1600003655,"GEN-ST,BAG,POLYBAG",KG,"7,031",,,,"148,143,170"
9,,E451,SR01,Main Store,1600000791,"FUEL,DIESOLINE",L,"4,661",,,,"80,616,868"
10,,E451,SR01,Main Store,1600002288,"FERT,STRAIGHT,BORATE 48 (48% B2O5)",KG,"4,497.04",,,,"51,715,960"
11,,E451,SR01,Main Store,1600009691,"HERBI,GLYPHOSATE, SUPREMO 480 AS",L,"3,692.88",,,,"116,325,720"
12,,E451,SR01,Main Store,1600012538,"INSECTICIDE,CAPTURE 50 EC CYPERMETRIN",L,"2,453.61",,,,"87,103,226"
13,,E451,SR01,Main Store,1600017956,"FERT,SOIL CONDITIONER,MIKORIZA,MYCOPALM",KG,698,,,,"9,319,838"
14,,E451,SR01,Main Store,1600014171,"INSECT,ASEFAT,MANTHANE 75 SP",KG,690,,,,"64,537,483"
15,,E451,SR01,Main Store,1600014381,"GEN-ST,BAG,POLYBAG B",KG,651,,,,"13,891,779"
16,,E451,SR01,Main Store,1600000674,"COVER CROP,SEEDS,CALAPOGONIUM MUCUNOIDES",KG,584.71,,,,"51,024,455"
17,,E451,SR01,Main Store,1600015271,"Herbi,Triclopyr,Centalon 480 EC",L,461.92,,,,"31,872,480"
18,,E451,SR01,Main Store,1600014749,RORED HDA MIN 140 GL- 5 (1 DR = 209 L),L,362,,,,"12,308,000"
19,,E451,SR01,Main Store,1600003656,"FOOD,STUFF,RICE",KG,312.72,,,,"4,398,312"
20,,E451,SR01,Main Store,1600014733,MEDITRAN S MIN 10W CF-2/SF (1 DRUM=209L),L,306,,,,"8,109,000"
21,,E451,SR01,Main Store,1600013994,"HERBI,METSULFURON-METHYL,KENLLY 20 WG",KG,298.637,,,,"20,451,030"
22,,E451,SR01,Main Store,1600014725,MEDITRAN SX MIN 15W-40 CH4 (1 DRUM=209L),L,271,,,,"7,723,500"
23,,E451,SR01,Main Store,1600003654,"GEN-ST,BAG,BABYBAG",KG,250,,,,"5,105,000"
